"Transactions  for account XXXX-1234 as of 01/23/2021 14:29:39 ET"
"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount",
"04/02/2021","Buy","FOO","FOO INC","30.5","$30.2","$4","-$925.1",
"03/06/2021","Sell","FOO","FOO INC","90","$33","$5","$2965",
"03/06/2021","Buy","FOO","FOO INC","90","$32","$5","-$2885",
"03/03/2021","Sell","FOO","FOO INC","104","$31","$5","$3219",
"03/03/2021","Buy","FOO","FOO INC","4","$30","$0","-$120",
"03/03/2021","Buy","FOO","FOO INC","100","$29","$5","-$2905",
"03/03/2021","Sell","FOO","FOO INC","50","$28","$5","$1395",
"03/03/2021","Buy","FOO","FOO INC","50","$27","$5","-$1355",
"03/03/2021","Sell","FOO","FOO INC","100","$26","$5","$2595",
"03/02/2021","Buy","FOO","FOO INC","100","$25","$6","-$2506",
"03/01/2016","MoneyLink Transfer","","Tfr BANK","","","","$10000.00",
Transactions Total,"","","","","","",
